,bowler,balls,runs,wkts,innings,eco,wktspermatch
294,SL Malinga,2694,2766,170,110,103.0,155
295,SM Boland,43,53,3,2,123.0,150
296,SM Harwood,67,61,3,3,91.0,100
297,SM Pollock,280,297,13,13,106.0,100
298,SMSM Senanayake,195,206,9,8,106.0,112
299,SN Thakur,259,337,14,13,130.0,108
300,SP Narine,1956,1999,109,81,102.0,135
301,SPD Smith,2,5,0,1,250.0,0
302,SR Tendulkar,37,57,0,4,154.0,0
303,SR Watson,1961,2328,100,94,119.0,106
304,SS Agarwal,24,42,1,1,175.0,100
305,SS Mundhe,7,5,1,1,71.0,100
306,SS Sarkar,25,34,1,2,136.0,50
307,ST Jayasuriya,301,375,16,21,125.0,76
308,STR Binny,554,667,27,57,120.0,47
309,SW Tait,534,557,26,21,104.0,124
310,Sachin Baby,10,8,3,2,80.0,150
311,Sandeep Sharma,1273,1539,76,56,121.0,136
312,Shahid Afridi,185,220,9,10,119.0,90
313,Shakib Al Hasan,947,1072,48,42,113.0,114
314,Shivam Sharma,114,165,4,5,145.0,80
315,Shoaib Ahmed,103,151,5,7,147.0,71
316,Shoaib Akhtar,46,50,5,3,109.0,167
317,Shoaib Malik,58,77,2,5,133.0,40
318,Sohail Tanvir,265,246,24,11,93.0,218
319,Sunny Gupta,19,45,0,1,237.0,0
320,Swapnil Singh,61,89,1,5,146.0,20
321,T Henderson,36,40,1,2,111.0,50
322,T Natarajan,82,109,2,6,133.0,33
323,T Shamsi,96,147,3,4,153.0,75
324,T Thushara,144,152,10,6,106.0,167
325,TA Boult,355,470,16,14,132.0,114
326,TG Southee,691,883,25,29,128.0,86
327,TL Suman,152,195,7,11,128.0,64
328,TM Dilshan,275,361,5,25,131.0,20
329,TM Head,48,81,3,5,169.0,60
330,TP Sudhindra,74,132,1,3,178.0,33
331,TS Mills,111,144,5,5,130.0,100
332,Tejas Baroka,21,33,0,1,157.0,0
333,UT Yadav,2033,2616,107,93,129.0,115
334,Umar Gul,153,166,14,6,108.0,233
335,V Kohli,264,354,5,26,134.0,19
336,V Pratap Singh,211,289,12,9,137.0,133
337,V Sehwag,138,233,6,15,169.0,40
338,V Shankar,6,19,0,1,317.0,0
339,VR Aaron,904,1151,40,40,127.0,100
340,VRV Singh,371,531,16,18,143.0,89
341,VS Malik,212,254,6,13,120.0,46
342,VS Yeligati,32,53,0,2,166.0,0
343,VY Mahesh,359,478,22,17,133.0,129
344,WA Mota,75,94,4,7,125.0,57
345,WD Parnell,601,651,31,26,108.0,119
346,WPUJC Vaas,288,345,22,13,120.0,169
347,Washington Sundar,182,183,9,10,101.0,90
348,Y Gnaneswara Rao,6,7,0,1,117.0,0
349,Y Nagar,72,117,4,8,162.0,50
350,Y Venugopal Rao,222,329,7,20,148.0,35
351,YA Abdulla,222,294,15,11,132.0,136
352,YK Pathan,1166,1350,45,80,116.0,56
353,YS Chahal,1219,1532,72,55,126.0,131
354,Yuvraj Singh,869,1042,39,71,120.0,55
355,Z Khan,2276,2691,119,99,118.0,120
