,USER_ID,AVG_PERC,MAX_PERC,TOP3_AVG,NMOCKS,ATT,OK,ACC,AVG_ATT
428,1828537,98.60085217,99.89506821,99.86,7,502,400,79.68,71.71428571
430,1830882,80.94258276,95.83508036,95.39,15,947,644,68,63.13333333
431,1832379,59.15064244,81.38888889,73.41,8,356,248,69.66,44.5
432,1832511,91.07423813,99.51743014,99.31,15,1112,780,70.14,74.13333333
434,1835124,44.3464868,58.31586303,56.4,11,635,336,52.91,57.72727273
435,1838322,46.33109671,71.59090909,66.74,14,726,423,58.26,51.85714286
436,1838432,70.33124528,92.19165234,87.3,14,820,542,66.1,58.57142857
438,1840315,40.59394933,61.64742917,55.41,7,353,215,60.91,50.42857143
439,1840752,60.58250114,85.5,76,13,799,477,59.7,61.46153846
440,1841582,49.46490767,64.57460638,61.04,7,409,237,57.95,58.42857143
441,1842172,49.07141862,71.30472475,60.06,5,289,168,58.13,57.8
443,1844438,63.20442032,79.12996585,76.91,8,436,289,66.28,54.5
446,1850937,36.10151194,59.63873482,52.16,13,643,335,52.1,49.46153846
447,1851088,39.06056283,56.75990676,53.52,10,586,301,51.37,58.6
448,1851288,57.35123202,82.92154313,76.28,8,438,266,60.73,54.75
449,1851910,75.1350991,93.27586207,90.57,13,751,522,69.51,57.76923077
450,1853050,64.32206547,87.09794001,85.17,13,763,487,63.83,58.69230769
452,1855110,49.74409697,92.45240594,73.44,10,492,304,61.79,49.2
453,1855980,44.28155755,57.03687698,52.93,8,484,260,53.72,60.5
454,1860430,35.11224894,43.61548462,39.68,6,283,161,56.89,47.16666667
455,1860597,73.37371516,93.21678322,89.56,13,777,516,66.41,59.76923077
456,1862189,99.51210242,99.93783994,99.82,5,422,326,77.25,84.4
458,1864077,64.88361279,81.5478094,78.96,10,637,385,60.44,63.7
460,1865120,54.40608086,74.59226095,68.48,12,598,387,64.72,49.83333333
461,1866517,91.1066648,98.73609707,97.74,15,1088,742,68.2,72.53333333
462,1867881,59.41209818,83.38744589,76.26,9,574,322,56.1,63.77777778
463,1868475,79.38215334,92.25545441,90.37,7,359,280,77.99,51.28571429
464,1868795,46.11009603,72.17560218,62.1,8,418,241,57.66,52.25
467,1875189,60.06744967,86.51960784,79.43,13,824,458,55.58,63.38461538
468,1875962,92.40461317,96.44827586,94.66,5,327,249,76.15,65.4
469,1876703,86.42058053,97.11178335,95.04,11,754,491,65.12,68.54545455
470,1876728,92.23869278,98.71017871,98.31,14,1128,724,64.18,80.57142857
471,1877173,74.86467524,98.24134199,92.55,15,990,601,60.71,66
474,1877727,19.87836747,51.96629213,44.12,15,618,309,50,41.2
475,1879398,83.23564708,97.48631518,94.66,13,817,571,69.89,62.84615385
478,1883657,38.59774086,56.58120994,44.66,6,318,173,54.4,53
479,1885369,66.26347912,82.66610597,80.45,15,756,540,71.43,50.4
